order_id,order_date,customer_id,product_id,product_name,product_category,quantity,unit_price,discount,sales_amount,region
ORD-001092,2024-01-01,CUST-00620,PROD-9308,Bookshelf,Furniture,2,902.41,0.05,1714.58,Latin America
ORD-004877,2024-01-01,CUST-00883,PROD-9308,Bookshelf,Furniture,3,872.46,0.05,2486.51,Europe
ORD-001604,2024-01-01,CUST-00543,PROD-3850,Paper Pack,Office Supplies,1,99.63,0.05,94.65,Latin America
ORD-002610,2024-01-01,CUST-00494,PROD-3850,Paper Pack,Office Supplies,1,23.99,0.0,23.99,Asia Pacific
ORD-002645,2024-01-01,CUST-00035,PROD-6530,Headphones,Electronics,1,542.05,0.0,542.05,North America
ORD-003441,2024-01-01,CUST-00995,PROD-0113,Analytics Platform,Software,1,991.78,0.1,892.6,North America
ORD-004489,2024-01-01,CUST-00884,PROD-6308,Smartwatch,Electronics,1,2334.6,0.0,2334.6,Middle East
ORD-001219,2024-01-01,CUST-00117,PROD-2548,Project Manager,Software,2,408.57,0.1,735.42,Europe
ORD-000580,2024-01-01,CUST-00651,PROD-7101,Office Chair,Furniture,2,596.19,0.0,1192.38,North America
ORD-001105,2024-01-01,CUST-00791,PROD-7101,Office Chair,Furniture,10,347.12,0.0,3471.18,Europe
ORD-003653,2024-01-02,CUST-00751,PROD-9042,Filing Cabinet,Furniture,2,1311.96,0.15,2230.34,Europe
ORD-003648,2024-01-02,CUST-00354,PROD-5665,Tablet Plus,Electronics,1,2069.78,0.2,1655.83,Europe
ORD-001290,2024-01-02,CUST-00047,PROD-7101,Office Chair,Furniture,2,472.35,0.1,850.22,Asia Pacific
ORD-001361,2024-01-02,CUST-00791,PROD-4871,Organizer,Office Supplies,1,38.42,0.15,32.66,Middle East
ORD-001351,2024-01-02,CUST-00769,PROD-6302,Printer,Office Supplies,3,95.41,0.0,286.22,Asia Pacific
ORD-001328,2024-01-02,CUST-00533,PROD-3498,Conference Table,Furniture,5,980.23,0.05,4656.09,Middle East
ORD-003634,2024-01-02,CUST-00289,PROD-8992,Cloud Storage,Software,1,401.1,0.05,381.04,Latin America
ORD-001251,2024-01-02,CUST-00225,PROD-8729,Security Tools,Software,2,239.2,0.1,430.57,Asia Pacific
ORD-003905,2024-01-02,CUST-00603,PROD-5665,Tablet Plus,Electronics,3,1717.16,0.0,5151.49,Latin America
ORD-003937,2024-01-02,CUST-00932,PROD-0317,Pens Set,Office Supplies,2,157.4,0.1,283.32,Asia Pacific
ORD-000364,2024-01-02,CUST-00286,PROD-9333,CRM Suite,Software,3,789.74,0.0,2369.23,Europe
ORD-001148,2024-01-02,CUST-00353,PROD-9042,Filing Cabinet,Furniture,1,341.32,0.1,307.19,Europe
ORD-001009,2024-01-02,CUST-00388,PROD-9308,Bookshelf,Furniture,2,1079.25,0.1,1942.66,North America
ORD-002395,2024-01-02,CUST-00160,PROD-6530,Headphones,Electronics,2,1898.42,0.0,3796.83,Asia Pacific
ORD-003625,2024-01-02,CUST-00163,PROD-6302,Printer,Office Supplies,2,95.16,0.05,180.81,Asia Pacific
ORD-003309,2024-01-02,CUST-00075,PROD-2548,Project Manager,Software,1,400.52,0.0,400.52,Latin America
ORD-003494,2024-01-02,CUST-00816,PROD-9308,Bookshelf,Furniture,1,428.41,0.05,406.99,Europe
ORD-002369,2024-01-02,CUST-00880,PROD-7557,Notebooks,Office Supplies,1,83.52,0.15,70.99,Europe
ORD-002493,2024-01-02,CUST-00988,PROD-9042,Filing Cabinet,Furniture,2,902.42,0.0,1804.83,Europe
ORD-002237,2024-01-02,CUST-00208,PROD-3498,Conference Table,Furniture,1,1041.65,0.0,1041.65,Asia Pacific
ORD-002160,2024-01-02,CUST-00324,PROD-7101,Office Chair,Furniture,2,674.13,0.0,1348.27,Latin America
ORD-002694,2024-01-02,CUST-00533,PROD-3498,Conference Table,Furniture,1,455.28,0.0,455.28,Latin America
ORD-002696,2024-01-02,CUST-00370,PROD-5259,Standing Desk,Furniture,1,393.18,0.0,393.18,Latin America
ORD-002730,2024-01-02,CUST-00126,PROD-0317,Pens Set,Office Supplies,3,167.63,0.15,427.45,Asia Pacific
ORD-002906,2024-01-02,CUST-00526,PROD-9308,Bookshelf,Furniture,5,1262.61,0.0,6313.07,North America
ORD-001913,2024-01-02,CUST-00231,PROD-7101,Office Chair,Furniture,1,1025.39,0.15,871.58,Europe
ORD-001904,2024-01-02,CUST-00617,PROD-2548,Project Manager,Software,1,843.71,0.1,759.34,Middle East
ORD-001429,2024-01-02,CUST-00690,PROD-6530,Headphones,Electronics,1,1945.68,0.05,1848.39,North America
ORD-003012,2024-01-02,CUST-00023,PROD-9042,Filing Cabinet,Furniture,1,1433.01,0.0,1433.01,North America
ORD-003079,2024-01-02,CUST-00369,PROD-8729,Security Tools,Software,2,363.7,0.1,654.66,Latin America
ORD-003115,2024-01-02,CUST-00033,PROD-7101,Office Chair,Furniture,1,1084.12,0.05,1029.91,Middle East
ORD-000187,2024-01-02,CUST-00689,PROD-3850,Paper Pack,Office Supplies,1,139.44,0.2,111.55,Latin America
ORD-003146,2024-01-02,CUST-00638,PROD-9042,Filing Cabinet,Furniture,1,454.28,0.0,454.28,Latin America
ORD-003215,2024-01-02,CUST-00705,PROD-5665,Tablet Plus,Electronics,1,610.1,0.05,579.59,Europe
ORD-003219,2024-01-02,CUST-00489,PROD-9308,Bookshelf,Furniture,1,1172.92,0.0,1172.92,North America
ORD-003276,2024-01-02,CUST-00371,PROD-5259,Standing Desk,Furniture,3,875.64,0.15,2232.88,Middle East
ORD-001744,2024-01-02,CUST-00364,PROD-3498,Conference Table,Furniture,1,989.81,0.0,989.81,Middle East
ORD-003395,2024-01-02,CUST-00673,PROD-9333,CRM Suite,Software,3,337.03,0.0,1011.08,Europe
ORD-001631,2024-01-02,CUST-00147,PROD-8992,Cloud Storage,Software,10,329.74,0.0,3297.37,Latin America
ORD-003060,2024-01-02,CUST-00762,PROD-1016,Laptop Pro,Electronics,1,2431.81,0.1,2188.63,North America
ORD-000987,2024-01-02,CUST-00956,PROD-0317,Pens Set,Office Supplies,3,55.06,0.0,165.18,Europe
ORD-005000,2024-01-02,CUST-00357,PROD-2368,Smartphone X,Electronics,1,1760.48,0.0,1760.48,Europe
ORD-000009,2024-01-02,CUST-00428,PROD-0317,Pens Set,Office Supplies,1,61.56,0.05,58.48,Asia Pacific
ORD-000681,2024-01-02,CUST-00481,PROD-0317,Pens Set,Office Supplies,1,193.7,0.05,184.02,Latin America
ORD-000017,2024-01-02,CUST-00379,PROD-9308,Bookshelf,Furniture,2,538.61,0.1,969.5,North America
ORD-004453,2024-01-02,CUST-00524,PROD-6302,Printer,Office Supplies,1,72.15,0.05,68.54,Middle East
ORD-004741,2024-01-02,CUST-00238,PROD-0317,Pens Set,Office Supplies,1,105.54,0.0,105.54,Middle East
ORD-004486,2024-01-02,CUST-00303,PROD-5259,Standing Desk,Furniture,3,441.8,0.1,1192.85,Latin America
ORD-000704,2024-01-02,CUST-00925,PROD-5665,Tablet Plus,Electronics,5,1317.55,0.0,6587.77,Asia Pacific
ORD-000730,2024-01-02,CUST-00518,PROD-6302,Printer,Office Supplies,1,70.56,0.0,70.56,Latin America
ORD-004810,2024-01-02,CUST-00554,PROD-9042,Filing Cabinet,Furniture,1,462.75,0.0,462.75,Middle East
ORD-000794,2024-01-02,CUST-00844,PROD-4871,Organizer,Office Supplies,1,114.1,0.05,108.39,Europe
ORD-004686,2024-01-02,CUST-00913,PROD-5665,Tablet Plus,Electronics,1,2066.53,0.0,2066.53,North America
ORD-004761,2024-01-02,CUST-00021,PROD-2368,Smartphone X,Electronics,1,1045.91,0.0,1045.91,Asia Pacific
ORD-004636,2024-01-02,CUST-00973,PROD-6302,Printer,Office Supplies,2,109.33,0.05,207.72,Europe
ORD-000967,2024-01-02,CUST-00453,PROD-6308,Smartwatch,Electronics,1,1456.67,0.1,1311.0,North America
ORD-004631,2024-01-02,CUST-00449,PROD-6530,Headphones,Electronics,1,641.05,0.0,641.05,Latin America
ORD-004600,2024-01-02,CUST-00018,PROD-4871,Organizer,Office Supplies,5,117.71,0.0,588.54,Middle East
ORD-000078,2024-01-02,CUST-00516,PROD-9042,Filing Cabinet,Furniture,2,1420.12,0.05,2698.23,Latin America
ORD-000403,2024-01-02,CUST-00768,PROD-2368,Smartphone X,Electronics,5,664.34,0.0,3321.72,Asia Pacific
ORD-004756,2024-01-03,CUST-00082,PROD-1016,Laptop Pro,Electronics,2,767.41,0.05,1458.07,Europe
ORD-002963,2024-01-03,CUST-00506,PROD-6530,Headphones,Electronics,2,2291.69,0.1,4125.04,Latin America
ORD-002880,2024-01-03,CUST-00099,PROD-6308,Smartwatch,Electronics,2,2317.39,0.0,4634.77,Middle East
ORD-001402,2024-01-03,CUST-00825,PROD-6530,Headphones,Electronics,2,1736.21,0.05,3298.79,Europe
ORD-003631,2024-01-03,CUST-00959,PROD-1016,Laptop Pro,Electronics,5,2027.08,0.0,10135.4,Asia Pacific
ORD-003272,2024-01-03,CUST-00948,PROD-3498,Conference Table,Furniture,3,984.77,0.0,2954.32,Europe
ORD-000334,2024-01-03,CUST-00293,PROD-4871,Organizer,Office Supplies,1,81.42,0.0,81.42,Europe
ORD-000751,2024-01-03,CUST-00675,PROD-4871,Organizer,Office Supplies,1,66.72,0.15,56.72,North America
ORD-003692,2024-01-03,CUST-00578,PROD-6530,Headphones,Electronics,1,541.54,0.15,460.31,Asia Pacific
ORD-004666,2024-01-03,CUST-00911,PROD-0113,Analytics Platform,Software,1,630.33,0.05,598.82,Middle East
ORD-003516,2024-01-03,CUST-00718,PROD-8992,Cloud Storage,Software,1,595.67,0.2,476.54,Latin America
ORD-003249,2024-01-03,CUST-00172,PROD-6302,Printer,Office Supplies,2,24.16,0.0,48.32,Europe
ORD-001767,2024-01-03,CUST-00666,PROD-1016,Laptop Pro,Electronics,1,1049.79,0.0,1049.79,Asia Pacific
ORD-003298,2024-01-03,CUST-00120,PROD-8992,Cloud Storage,Software,2,944.82,0.0,1889.64,Middle East
ORD-001639,2024-01-03,CUST-00688,PROD-6308,Smartwatch,Electronics,2,1197.2,0.0,2394.41,Middle East
ORD-004649,2024-01-03,CUST-00126,PROD-0113,Analytics Platform,Software,2,977.86,0.0,1955.72,Middle East
ORD-000634,2024-01-03,CUST-00193,PROD-3850,Paper Pack,Office Supplies,3,171.17,0.0,513.5,Europe
ORD-000597,2024-01-03,CUST-00884,PROD-4871,Organizer,Office Supplies,1,152.52,0.15,129.64,Latin America
ORD-003423,2024-01-03,CUST-00596,PROD-9042,Filing Cabinet,Furniture,1,1334.77,0.05,1268.03,Europe
ORD-003113,2024-01-03,CUST-00254,PROD-5665,Tablet Plus,Electronics,2,805.61,0.0,1611.22,North America
ORD-003102,2024-01-03,CUST-00707,PROD-5259,Standing Desk,Furniture,1,541.71,0.0,541.71,Europe
ORD-000604,2024-01-03,CUST-00456,PROD-9308,Bookshelf,Furniture,3,1378.27,0.1,3721.34,Europe
ORD-001844,2024-01-03,CUST-00311,PROD-5665,Tablet Plus,Electronics,1,1710.2,0.0,1710.2,Latin America
ORD-003092,2024-01-03,CUST-00080,PROD-8729,Security Tools,Software,1,967.17,0.0,967.17,Europe
ORD-001879,2024-01-03,CUST-00955,PROD-9333,CRM Suite,Software,1,244.6,0.15,207.91,Latin America
ORD-003427,2024-01-03,CUST-00705,PROD-3850,Paper Pack,Office Supplies,2,142.32,0.0,284.64,Asia Pacific
ORD-002793,2024-01-03,CUST-00828,PROD-5259,Standing Desk,Furniture,1,1134.57,0.05,1077.84,Europe
ORD-003694,2024-01-03,CUST-00750,PROD-5259,Standing Desk,Furniture,1,1205.45,0.15,1024.63,North America
ORD-002583,2024-01-03,CUST-00114,PROD-2368,Smartphone X,Electronics,2,1265.73,0.05,2404.89,Europe
ORD-002569,2024-01-03,CUST-00383,PROD-6530,Headphones,Electronics,2,1210.92,0.05,2300.75,North America
ORD-002243,2024-01-03,CUST-00768,PROD-5665,Tablet Plus,Electronics,1,1750.04,0.05,1662.54,Asia Pacific
ORD-002249,2024-01-03,CUST-00861,PROD-2548,Project Manager,Software,5,575.44,0.0,2877.21,Latin America
ORD-002264,2024-01-03,CUST-00072,PROD-9042,Filing Cabinet,Furniture,10,1055.23,0.0,10552.26,Asia Pacific
ORD-004042,2024-01-03,CUST-00772,PROD-6530,Headphones,Electronics,1,1880.04,0.0,1880.04,North America
ORD-001085,2024-01-03,CUST-00101,PROD-1016,Laptop Pro,Electronics,1,1880.09,0.0,1880.09,Latin America
ORD-002486,2024-01-03,CUST-00674,PROD-6530,Headphones,Electronics,1,1267.55,0.1,1140.79,Latin America
ORD-000377,2024-01-03,CUST-00800,PROD-3850,Paper Pack,Office Supplies,5,44.33,0.05,210.57,Asia Pacific
ORD-002451,2024-01-03,CUST-00895,PROD-0113,Analytics Platform,Software,2,306.7,0.1,552.07,Asia Pacific
ORD-004932,2024-01-03,CUST-00089,PROD-6302,Printer,Office Supplies,1,189.05,0.05,179.6,Asia Pacific
ORD-002444,2024-01-03,CUST-00113,PROD-3850,Paper Pack,Office Supplies,1,181.17,0.05,172.11,Latin America
ORD-001014,2024-01-03,CUST-00508,PROD-7101,Office Chair,Furniture,1,551.35,0.0,551.35,Europe
ORD-004136,2024-01-03,CUST-00579,PROD-6530,Headphones,Electronics,1,1309.18,0.05,1243.72,Asia Pacific
ORD-001003,2024-01-03,CUST-00738,PROD-9042,Filing Cabinet,Furniture,2,1334.0,0.15,2267.8,North America
ORD-000501,2024-01-03,CUST-00174,PROD-5665,Tablet Plus,Electronics,1,1888.9,0.15,1605.57,North America
ORD-000536,2024-01-03,CUST-00155,PROD-6530,Headphones,Electronics,5,1510.91,0.0,7554.55,Middle East
ORD-000233,2024-01-03,CUST-00141,PROD-8729,Security Tools,Software,1,896.08,0.15,761.67,Middle East
ORD-000178,2024-01-03,CUST-00905,PROD-8992,Cloud Storage,Software,3,721.09,0.0,2163.28,Latin America
ORD-002109,2024-01-03,CUST-00683,PROD-8729,Security Tools,Software,2,231.53,0.0,463.06,North America
ORD-002044,2024-01-03,CUST-00168,PROD-2548,Project Manager,Software,2,463.53,0.15,788.01,Europe
ORD-003802,2024-01-03,CUST-00276,PROD-6530,Headphones,Electronics,5,572.55,0.05,2719.6,Asia Pacific
ORD-001321,2024-01-03,CUST-00806,PROD-2368,Smartphone X,Electronics,2,743.21,0.15,1263.46,Latin America
ORD-001304,2024-01-03,CUST-00117,PROD-9042,Filing Cabinet,Furniture,1,949.49,0.1,854.54,Asia Pacific
ORD-000541,2024-01-03,CUST-00489,PROD-9333,CRM Suite,Software,3,976.59,0.2,2343.82,Middle East
ORD-002063,2024-01-03,CUST-00248,PROD-1016,Laptop Pro,Electronics,1,2082.39,0.0,2082.39,Middle East
ORD-003901,2024-01-03,CUST-00186,PROD-5665,Tablet Plus,Electronics,3,1225.89,0.1,3309.89,Middle East
ORD-004309,2024-01-03,CUST-00825,PROD-5665,Tablet Plus,Electronics,3,1920.21,0.05,5472.59,Middle East
ORD-003826,2024-01-03,CUST-00833,PROD-2548,Project Manager,Software,3,975.52,0.1,2633.9,Latin America
ORD-000300,2024-01-04,CUST-00117,PROD-0317,Pens Set,Office Supplies,2,176.07,0.0,352.13,Middle East
ORD-002722,2024-01-04,CUST-00969,PROD-1016,Laptop Pro,Electronics,3,656.06,0.1,1771.37,North America
ORD-001946,2024-01-04,CUST-00261,PROD-5665,Tablet Plus,Electronics,2,1570.51,0.0,3141.01,Latin America
ORD-002116,2024-01-04,CUST-00375,PROD-1016,Laptop Pro,Electronics,1,1686.31,0.0,1686.31,Asia Pacific
ORD-002895,2024-01-04,CUST-00191,PROD-5665,Tablet Plus,Electronics,1,2141.71,0.1,1927.54,Asia Pacific
ORD-004961,2024-01-04,CUST-00663,PROD-8729,Security Tools,Software,1,979.75,0.2,783.8,Middle East
ORD-002052,2024-01-04,CUST-00431,PROD-9042,Filing Cabinet,Furniture,1,1060.24,0.0,1060.24,Latin America
ORD-001784,2024-01-04,CUST-00815,PROD-3498,Conference Table,Furniture,1,1146.08,0.0,1146.08,Middle East
ORD-001924,2024-01-04,CUST-00849,PROD-8992,Cloud Storage,Software,1,336.29,0.05,319.48,Middle East
ORD-002169,2024-01-04,CUST-00393,PROD-6308,Smartwatch,Electronics,1,1320.54,0.15,1122.46,Europe
ORD-004854,2024-01-04,CUST-00581,PROD-7557,Notebooks,Office Supplies,1,38.32,0.05,36.4,Asia Pacific
ORD-000186,2024-01-04,CUST-00666,PROD-6308,Smartwatch,Electronics,3,1122.95,0.0,3368.84,Asia Pacific
ORD-003066,2024-01-04,CUST-00444,PROD-4871,Organizer,Office Supplies,1,104.37,0.0,104.37,Europe
ORD-000423,2024-01-04,CUST-00377,PROD-9042,Filing Cabinet,Furniture,1,1194.88,0.2,955.9,Middle East
ORD-004689,2024-01-04,CUST-00418,PROD-0317,Pens Set,Office Supplies,3,96.91,0.05,276.18,North America
ORD-002118,2024-01-04,CUST-00963,PROD-6302,Printer,Office Supplies,5,104.64,0.0,523.22,Europe
ORD-002008,2024-01-04,CUST-00914,PROD-0317,Pens Set,Office Supplies,2,76.7,0.2,122.72,Latin America
ORD-002989,2024-01-04,CUST-00833,PROD-0317,Pens Set,Office Supplies,3,196.86,0.05,561.06,Middle East
ORD-000244,2024-01-04,CUST-00054,PROD-6530,Headphones,Electronics,3,2414.54,0.1,6519.26,Asia Pacific
ORD-000548,2024-01-04,CUST-00064,PROD-0113,Analytics Platform,Software,2,580.44,0.0,1160.87,Latin America
ORD-002003,2024-01-04,CUST-00317,PROD-3850,Paper Pack,Office Supplies,1,70.67,0.05,67.14,Asia Pacific
ORD-000951,2024-01-04,CUST-00920,PROD-5665,Tablet Plus,Electronics,1,1227.29,0.0,1227.29,Europe
ORD-004597,2024-01-04,CUST-00758,PROD-3850,Paper Pack,Office Supplies,1,66.88,0.15,56.85,Middle East
ORD-000083,2024-01-04,CUST-00605,PROD-3850,Paper Pack,Office Supplies,1,131.29,0.05,124.72,Europe
ORD-003988,2024-01-04,CUST-00714,PROD-4871,Organizer,Office Supplies,3,73.31,0.0,219.93,Europe
ORD-000075,2024-01-04,CUST-00218,PROD-7101,Office Chair,Furniture,2,1326.55,0.0,2653.11,Latin America
ORD-004261,2024-01-04,CUST-00132,PROD-5259,Standing Desk,Furniture,3,737.19,0.1,1990.41,Latin America
ORD-000860,2024-01-04,CUST-00287,PROD-0113,Analytics Platform,Software,1,535.35,0.15,455.04,Latin America
ORD-000821,2024-01-04,CUST-00184,PROD-0317,Pens Set,Office Supplies,2,134.68,0.05,255.89,Middle East
ORD-001226,2024-01-04,CUST-00479,PROD-5259,Standing Desk,Furniture,1,1066.76,0.0,1066.76,Middle East
ORD-000400,2024-01-04,CUST-00228,PROD-6302,Printer,Office Supplies,1,111.54,0.0,111.54,Latin America
ORD-003793,2024-01-04,CUST-00170,PROD-4871,Organizer,Office Supplies,1,26.28,0.0,26.28,Europe
ORD-000064,2024-01-04,CUST-00314,PROD-9308,Bookshelf,Furniture,2,858.72,0.0,1717.44,Latin America
ORD-000757,2024-01-04,CUST-00699,PROD-7101,Office Chair,Furniture,1,793.43,0.0,793.43,Europe
ORD-000136,2024-01-04,CUST-00350,PROD-0317,Pens Set,Office Supplies,2,163.89,0.0,327.79,Asia Pacific
ORD-000140,2024-01-04,CUST-00750,PROD-6302,Printer,Office Supplies,2,65.44,0.15,111.25,Middle East
ORD-003532,2024-01-04,CUST-00969,PROD-5665,Tablet Plus,Electronics,3,1153.76,0.0,3461.27,Europe
ORD-003489,2024-01-04,CUST-00142,PROD-7101,Office Chair,Furniture,5,1200.83,0.0,6004.14,Latin America
ORD-004545,2024-01-04,CUST-00407,PROD-2548,Project Manager,Software,1,978.86,0.0,978.86,Latin America
ORD-001760,2024-01-04,CUST-00445,PROD-5259,Standing Desk,Furniture,1,834.13,0.0,834.13,Asia Pacific
ORD-004473,2024-01-04,CUST-00022,PROD-5259,Standing Desk,Furniture,5,569.48,0.05,2705.05,Europe
ORD-003381,2024-01-04,CUST-00181,PROD-9042,Filing Cabinet,Furniture,1,920.42,0.1,828.38,Latin America
ORD-004537,2024-01-04,CUST-00150,PROD-7101,Office Chair,Furniture,2,1025.52,0.0,2051.04,Europe
ORD-003471,2024-01-04,CUST-00824,PROD-2368,Smartphone X,Electronics,3,2440.77,0.0,7322.3,Middle East
ORD-004501,2024-01-04,CUST-00860,PROD-3498,Conference Table,Furniture,2,1031.5,0.0,2063.0,North America
ORD-000640,2024-01-04,CUST-00995,PROD-0317,Pens Set,Office Supplies,1,134.49,0.0,134.49,North America
ORD-004472,2024-01-05,CUST-00515,PROD-3498,Conference Table,Furniture,1,479.51,0.0,479.51,Asia Pacific
ORD-003397,2024-01-05,CUST-00391,PROD-3850,Paper Pack,Office Supplies,1,180.65,0.05,171.62,North America
ORD-001248,2024-01-05,CUST-00777,PROD-3850,Paper Pack,Office Supplies,1,171.87,0.0,171.87,Asia Pacific
ORD-004520,2024-01-05,CUST-00212,PROD-4871,Organizer,Office Supplies,1,81.67,0.0,81.67,Latin America
ORD-003912,2024-01-05,CUST-00411,PROD-2368,Smartphone X,Electronics,1,2254.32,0.0,2254.32,North America
ORD-001674,2024-01-05,CUST-00387,PROD-6302,Printer,Office Supplies,1,160.32,0.1,144.28,Europe
ORD-003174,2024-01-05,CUST-00686,PROD-6530,Headphones,Electronics,1,2255.88,0.0,2255.88,Asia Pacific
ORD-001130,2024-01-05,CUST-00232,PROD-6530,Headphones,Electronics,1,2168.33,0.0,2168.33,Latin America
ORD-002565,2024-01-05,CUST-00439,PROD-6530,Headphones,Electronics,1,721.91,0.05,685.82,North America
ORD-004247,2024-01-05,CUST-00523,PROD-3498,Conference Table,Furniture,2,422.54,0.0,845.08,Middle East
ORD-001099,2024-01-05,CUST-00157,PROD-8992,Cloud Storage,Software,2,521.5,0.0,1043.0,Middle East
ORD-001093,2024-01-05,CUST-00531,PROD-4871,Organizer,Office Supplies,1,66.27,0.0,66.27,Latin America
ORD-000883,2024-01-05,CUST-00253,PROD-1016,Laptop Pro,Electronics,3,1352.24,0.1,3651.05,Europe
ORD-001075,2024-01-05,CUST-00829,PROD-2548,Project Manager,Software,1,343.28,0.15,291.78,Europe
ORD-002284,2024-01-05,CUST-00963,PROD-8729,Security Tools,Software,5,876.5,0.1,3944.25,North America
ORD-002454,2024-01-05,CUST-00503,PROD-2368,Smartphone X,Electronics,1,1802.38,0.0,1802.38,Asia Pacific
ORD-001046,2024-01-05,CUST-00593,PROD-0317,Pens Set,Office Supplies,2,187.55,0.1,337.59,Middle East
ORD-004108,2024-01-05,CUST-00468,PROD-0113,Analytics Platform,Software,1,376.85,0.0,376.85,Asia Pacific
ORD-004971,2024-01-05,CUST-00099,PROD-0317,Pens Set,Office Supplies,2,129.69,0.0,259.38,North America
ORD-004973,2024-01-05,CUST-00148,PROD-6530,Headphones,Electronics,2,2300.31,0.2,3680.5,Latin America
ORD-004916,2024-01-05,CUST-00527,PROD-5259,Standing Desk,Furniture,1,1338.69,0.15,1137.89,Middle East
ORD-003800,2024-01-05,CUST-00316,PROD-7101,Office Chair,Furniture,5,1296.02,0.0,6480.1,Europe
ORD-004335,2024-01-05,CUST-00740,PROD-7557,Notebooks,Office Supplies,2,99.32,0.2,158.91,North America
ORD-001326,2024-01-05,CUST-00606,PROD-6308,Smartwatch,Electronics,2,799.82,0.05,1519.66,Europe
ORD-003075,2024-01-05,CUST-00758,PROD-1016,Laptop Pro,Electronics,2,1144.88,0.05,2175.28,North America
ORD-003570,2024-01-05,CUST-00511,PROD-1016,Laptop Pro,Electronics,1,1584.34,0.1,1425.91,Asia Pacific
ORD-003590,2024-01-05,CUST-00115,PROD-7557,Notebooks,Office Supplies,2,187.75,0.2,300.39,Europe
ORD-003604,2024-01-05,CUST-00043,PROD-6308,Smartwatch,Electronics,2,2492.48,0.0,4984.97,Asia Pacific
ORD-000692,2024-01-05,CUST-00366,PROD-9333,CRM Suite,Software,1,929.22,0.0,929.22,North America
ORD-004716,2024-01-05,CUST-00587,PROD-8992,Cloud Storage,Software,5,582.08,0.0,2910.38,Latin America
